Datetime,H1,H2,H3,H4,H5,H6,H7,H8,H10,H11,H12,H13,H14,H15,H16,H17,H18,H20
2014-10-26 12:45:00,0.277,0.427,0.16,0.174,0.653,0.116,0.057,0.241,0.136,0.223,4.57,0.074,0.277,0.653,3.431,0.247,0.595,0.1
2014-10-26 13:00:00,0.405,0.201,0.06,0.255,1.998,0.041,0.066,0.062,0.225,0.182,7.189,0.156,0.405,1.998,0.797,0.482,0.603,0.126
2014-10-26 13:15:00,0.328,0.115,0.173,0.207,2.433,0.041,0.085,0.062,0.083,0.193,7.324,0.264,0.328,2.433,0.713,0.235,0.422,0.135
2014-10-26 13:30:00,0.416,0.166,0.105,0.262,1.023,0.064,0.208,0.095,0.103,0.317,2.271,0.074,0.416,1.023,0.641,0.9,0.485,0.044
2014-10-26 13:45:00,0.283,0.336,0.147,0.178,0.857,0.171,0.068,0.343,0.164,0.208,3.434,0.074,0.283,0.857,0.432,2.65,0.522,0.058
2014-10-26 14:00:00,0.353,0.272,0.056,0.223,0.874,0.041,0.068,0.062,0.09,0.194,1.277,0.274,0.353,0.874,1.149,0.356,0.57,0.121
2014-10-26 14:15:00,0.336,1.766,0.075,0.212,1.099,0.041,0.068,0.062,0.135,0.191,0.584,0.15,0.336,1.099,0.947,0.656,0.4,0.132
2014-10-26 14:30:00,0.426,0.576,0.189,0.268,2.592,0.041,0.22,0.062,0.132,0.283,0.82,0.21,0.426,2.592,0.865,0.291,0.798,0.092
2014-10-26 14:45:00,0.308,0.112,0.096,0.194,1.21,0.167,0.061,0.265,0.165,0.247,2.751,2.25,0.308,1.21,0.769,0.435,0.519,0.044
2014-10-26 15:00:00,0.304,0.355,0.101,0.192,0.77,0.069,0.057,0.176,0.063,0.19,2.694,0.634,0.304,0.77,1.937,0.437,0.693,0.135
2014-10-26 15:15:00,0.378,0.811,0.101,0.238,0.734,0.041,0.688,0.062,0.165,0.19,0.201,0.464,0.378,0.734,0.614,0.668,0.323,0.11
2014-10-26 15:30:00,0.138,2.057,1.85,0.087,1.682,0.089,0.146,0.069,0.093,0.23,1.935,0.261,0.138,1.682,0.595,0.113,0.469,0.114
2014-10-26 15:45:00,0.199,0.099,0.674,0.125,1.865,0.18,0.057,0.243,0.199,0.301,2.509,4.796,0.199,1.865,0.612,0.197,0.687,0.352
2014-10-26 16:00:00,0.091,0.201,0.223,0.058,0.877,0.069,0.172,0.564,0.17,0.131,0.985,6.047,0.091,0.877,3.863,0.391,1.025,0.183
2014-10-26 16:15:00,0.205,0.22,0.121,0.129,0.674,0.045,0.23,0.343,0.062,0.045,0.73,6.901,0.205,0.674,4.003,0.844,0.514,0.098
